Action(SiteID=US|Country=US|Currency=USD|Version=585|CC=ISO-8859-1),OrderID,ItemID,TransactionID,ShippingStatus,ShippingCarrierUsed,ShipmentTrackingNumber
Status,,311502395170,668050687021,0,,
Status,,380946922223,698949004025,1,,
Status,,380721551971,698957261025,1,,
Status,,131237938190,1211089153003,1,,
Status,208077044010,208077044010,,0,,
Status,,381471362620,698959410025,1,,
Status,,311363593080,668067764021,1,,
Status,,310245538439,668069479021,1,,
Status,208078283010,208078283010,,1,,
Status,,400148910512,536925497027,1,,
Status,,130932579780,1211102258003,1,,
Status,,131667389286,1211105385003,1,,
Status,,311436797012,668082075021,0,,
Status,,311514365834,668093995021,1,,
Status,,311403863631,668095851021,1,,
Status,,130715328832,1211132719003,1,,
Status,,380805291661,698991789025,0,,
Status,,131257497585,1211137582003,1,,
Status,,380829033569,698995217025,1,,
Status,,131091004595,1211140816003,1,,
Status,,131292225418,1211144307003,1,,
Status,,310221294658,668106382021,1,,
Status,,310742856652,668111268021,1,,
Status,,131633534832,1211153266003,1,,
Status,,140474008992,1252750133004,1,,
Status,,381505281129,699011664025,1,,
Status,,400148458302,536969803027,1,,
Status,,311238767097,668119126021,1,,
Status,,131347256840,1211174642003,0,,
Status,,381100800469,699024090025,1,,
Status,,381362511838,699025234025,1,,
Status,,381413037414,699026172025,1,,
Status,,310814534468,668134152021,1,,
Status,,311006138990,668135606021,0,,
Status,,381486651379,699035442025,1,,
Status,,381443980423,699037393025,1,,
Status,,311363575150,668145474021,1,,
Status,,310321835323,668145663021,1,,
Status,,380946924736,699045816025,0,,
Status,,310333585098,668146056021,1,,
Status,,310324991251,668148407021,1,,
Status,,131761580210,1211207908003,1,,
Status,,381494497656,699049043025,0,,
Status,,131156424543,1211207735003,1,,
Status,,311413114470,668149642021,1,,
Status,,380542744788,699051899025,1,,
Status,,131689541471,1211213511003,1,,
Status,,131337119222,1211217510003,1,,
Status,,311007889896,668165375021,1,,
Status,,381443980533,699070009025,1,,
Status,,131684327217,1211238074003,1,,
Status,,400148904580,537023105027,1,,
Status,,131415542768,1211240827003,1,,
Status,,311535206922,668174200021,0,,
Status,,131431727033,1211242979003,0,,
Status,,380667757173,699078421025,0,,
Status,,380995019226,699078825025,1,,
Status,,311492717012,668176768021,0,,
Status,,400148460456,537029885027,1,,
Status,,140440633685,1252846508004,1,,
Status,,131739644034,1211251469003,1,,
Status,,310321833496,668181425021,1,,
Status,,381235517467,699085436025,1,,
Status,,310267747674,668184892021,1,,
Status,,310321872226,668186407021,0,,
Status,,381361616843,699090526025,0,,
Status,,140434681876,1252858322004,1,,
Status,,310691158452,668189670021,0,,
Status,208104338010,208104338010,,0,,
Status,,380612490607,699094264025,1,,
Status,,381591350907,699096222025,0,,
Status,,381591350963,699096626025,1,,
Status,,131205905497,1211267852003,1,,
Status,,310390035130,668194701021,0,,
Status,,381039162448,699099351025,1,,
Status,,131671220786,1211271401003,0,,
Status,,380803584049,699105567025,1,,
Status,208106725010,208106725010,,1,,
Status,,131065358894,1211283333003,1,,
Status,208108412010,208108412010,,1,,
Status,208108534010,208108534010,,0,,
Status,,131622211205,1211292357003,1,,
Status,,131656399489,1211294161003,0,,
Status,,131088017906,1211294398003,1,,
Status,,380767743950,699126761025,0,,
Status,,130943921792,1211301120003,1,,
Status,,381567254648,699128775025,1,,
Status,,380721558942,699130037025,1,,
Status,208110307010,208110307010,,1,,
Status,,131501140852,1211306803003,0,,
Status,,381549173654,699132412025,1,,
Status,,381488421988,699133731025,0,,
Status,,380876470826,699135251025,1,,
Status,,381092971426,699139197025,1,,
Status,,311474801979,668231799021,1,,
Status,,381092970267,699139780025,0,,
Status,,381331604813,699144709025,1,,
Status,,311553519900,668237108021,1,,
Status,,310729010785,668244153021,0,,
Status,,310245539855,668245708021,1,,
Status,,311488844074,668249047021,1,,
Status,,120854190989,1616895869002,1,,
Status,,311544421666,668252267021,1,,
Status,,131772070432,1211342897003,1,,
Status,,400148458022,537096951027,1,,
Status,,311437286857,668256441021,0,,
Status,,131654765282,1211350737003,1,,
Status,,310796833998,668262714021,0,,
Status,,381471300258,699175404025,1,,
Status,,380898858547,699177395025,1,,
Status,,131695299875,1211364343003,1,,
Status,,140446137262,1252968860004,1,,
Status,,131761580107,1211367609003,1,,
Status,,310245942775,668279698021,1,,
Status,,381471377340,699194786025,1,,
Status,,311023672668,668294457021,0,,
Status,,311520551266,668298823021,1,,
Status,,380969754609,699213941025,1,,
Status,,130642514834,1211415043003,1,,
Status,,381252513560,699216675025,0,,
Status,,120310420122,1617004407002,1,,
Status,,131337087673,1211429158003,1,,
Status,,310321836564,668313437021,1,,
Status,,310237504242,668313659021,1,,
Status,,140433578054,1253037993004,1,,
Status,,311436797858,668315226021,0,,
Status,,140270671174,1253040820004,1,,
Status,,381588297799,699228589025,1,,
Status,,310644647477,668319669021,1,,
Status,,130973012037,1211438142003,1,,
Status,,310321870158,668321941021,1,,
Status,,381066289731,699235549025,0,,
Status,,310321837900,668328150021,1,,
Status,,381471381449,699242985025,0,,
Status,,381566158987,699245466025,1,,
Status,,131633528273,1211457317003,1,,
Status,,310245948512,668334271021,1,,
Status,,381488697832,699250054025,0,,
Status,,381383809754,699250424025,1,,
Status,,120860448374,1617047210002,0,,
Status,,381116889857,699251580025,1,,
Status,,120854246524,1617047831002,1,,
Status,,310814528713,668338903021,1,,
Status,,381456761571,699253798025,1,,
Status,,131256598666,1211465485003,1,,
Status,,131347259258,1211476031003,1,,
Status,,381061410718,699266810025,1,,
Status,,311413114280,668357384021,1,,
Status,,120310423715,1617095641002,0,,
Status,,380663496553,699288850025,1,,
Status,,311514446476,668376523021,1,,
Status,,130908195398,1211516987003,0,,
Status,,310686232897,668380043021,1,,
Status,,131420876370,1211519320003,1,,
Status,,381566159144,699299089025,1,,
Status,,381323868061,699307214025,0,,
Status,,381125804197,699310239025,0,,
Status,,310245535426,668396556021,1,,
Status,,311488841625,668397255021,1,,
Status,,381571439171,699318414025,1,,
Status,,130943921562,1211554417003,1,,
Status,,311578794868,668413037021,0,,
Status,,311488841707,668414764021,1,,
Status,,400148918664,537254207027,1,,
Status,,131731046679,1211568746003,1,,
Status,,131170155926,1211568812003,0,,
Status,,131671220955,1211571092003,1,,
Status,,311578794296,668423057021,1,,
Status,,131091004617,1211577176003,1,,
Status,,381452468785,699345329025,1,,
Status,,131044791259,1211585660003,0,,
